"LCNumber","FolderName","RelativePath"
"49","LC49_Group_Anagrams","LeetCodePatternsVisualCombo/Hash Map or Frequency/leetcode_hashmap_frequency_java_25/LC49_Group_Anagrams/20.12.2025_16.47.09_REC.mp4"
"1004","LC1004_Max_Consecutive_Ones_III","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC1004_Max_Consecutive_Ones_III/29.12.2025_14.42.47_REC.mp4"
"159","LC159_Longest_Substring_with_At_Most_Two_Distinct_Characters","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC159_Longest_Substring_with_At_Most_Two_Distinct_Characters/29.12.2025_10.20.52_REC.mp4"
"1658","LC1658_Minimum_Operations_to_Reduce_X_to_Zero","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC1658_Minimum_Operations_to_Reduce_X_to_Zero/29.12.2025_15.27.43_REC.mp4"
"1838","LC1838_Frequency_of_the_Most_Frequent_Element","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC1838_Frequency_of_the_Most_Frequent_Element/29.12.2025_13.29.21_REC.mp4"
"187","LC187_Repeated_DNA_Sequences","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC187_Repeated_DNA_Sequences/29.12.2025_10.34.13_REC.mp4"
"209","LC209_Minimum_Size_Subarray_Sum","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC209_Minimum_Size_Subarray_Sum/29.12.2025_10.43.41_REC.mp4"
"239","LC239_Sliding_Window_Maximum","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC239_Sliding_Window_Maximum/29.12.2025_10.53.57_REC.mp4"
"340","LC340_Longest_Substring_with_At_Most_K_Distinct_Characters","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC340_Longest_Substring_with_At_Most_K_Distinct_Characters/29.12.2025_11.00.23_REC.mp4"
"395","LC395_Longest_Substring_with_At_Least_K_Repeating_Characters","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC395_Longest_Substring_with_At_Least_K_Repeating_Characters/29.12.2025_13.09.19_REC.mp4"
"3","LC3_Longest_Substring_Without_Repeating_Characters","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC3_Longest_Substring_Without_Repeating_Characters/29.12.2025_09.52.40_REC.mp4"
"567","LC567_Permutation_in_String","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC567_Permutation_in_String/29.12.2025_14.31.12_REC.mp4"
"76","LC76_Minimum_Window_Substring","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC76_Minimum_Window_Substring/29.12.2025_10.12.35_REC.mp4"
"930","LC930_Binary_Subarrays_With_Sum","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC930_Binary_Subarrays_With_Sum/29.12.2025_15.20.43_REC.mp4"
"995","LC995_Minimum_Number_of_K_Consecutive_Bit_Flips","LeetCodePatternsVisualCombo/Sliding Window/leetcode_sliding_window_java_25/LC995_Minimum_Number_of_K_Consecutive_Bit_Flips/29.12.2025_14.37.24_REC.mp4"
"102","LC102_Binary_Tree_Level_Order_Traversal","LeetCodePatternsVisualCombo/Trees/leetcode_trees_java_25/LC102_Binary_Tree_Level_Order_Traversal/17.12.2025_15.44.39_REC.mp4"
"110","LC110_Balanced_Binary_Tree","LeetCodePatternsVisualCombo/Trees/leetcode_trees_java_25/LC110_Balanced_Binary_Tree/20.12.2025_17.34.11_REC.mp4"
"112","LC112_Path_Sum","LeetCodePatternsVisualCombo/Trees/leetcode_trees_java_25/LC112_Path_Sum/20.12.2025_18.21.10_REC.mp4"
"114","LC114_Flatten_Binary_Tree_to_Linked_List","LeetCodePatternsVisualCombo/Trees/leetcode_trees_java_25/LC114_Flatten_Binary_Tree_to_Linked_List/20.12.2025_17.49.00_REC.mp4"
"226","LC226_Invert_Binary_Tree","LeetCodePatternsVisualCombo/Trees/leetcode_trees_java_25/LC226_Invert_Binary_Tree/20.12.2025_18.00.06_REC.mp4"
"617","LC617_Merge_Two_Binary_Trees","LeetCodePatternsVisualCombo/Trees/leetcode_trees_java_25/LC617_Merge_Two_Binary_Trees/20.12.2025_18.13.52_REC.mp4"
"11","LC11_Container_With_Most_Water","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC11_Container_With_Most_Water/24.12.2025_10.45.31_REC.mp4"
"125","LC125_Valid_Palindrome","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC125_Valid_Palindrome/24.12.2025_11.00.05_REC.mp4"
"15","LC15_3Sum","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC15_3Sum/19.12.2025_17.19.24_REC.mp4"
"167","LC167_Two_Sum_II_Input_Array_Is_Sorted","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC167_Two_Sum_II_Input_Array_Is_Sorted/24.12.2025_11.06.26_REC.mp4"
"189","LC189_Rotate_Array","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC189_Rotate_Array/24.12.2025_11.13.36_REC.mp4"
"26","LC26_Remove_Duplicates_from_Sorted_Array","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC26_Remove_Duplicates_from_Sorted_Array/24.12.2025_10.49.53_REC.mp4"
"27","LC27_Remove_Element","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC27_Remove_Element/24.12.2025_10.52.19_REC.mp4"
"283","LC283_Move_Zeroes","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC283_Move_Zeroes/24.12.2025_11.16.04_REC.mp4"
"344","LC344_Reverse_String","LeetCodePatternsVisualCombo/Two Pointers/leetcode_two_pointers_java_25/LC344_Reverse_String/24.12.2025_11.17.55_REC.mp4"
